Band,Duplex_Mode,UL_Min,UL_Max,DL_Min,DL_Max
n1,FDD,1920.0,1980.0,2110.0,2170.0
n2,FDD,1850.0,1910.0,1930.0,1990.0
n3,FDD,1710.0,1785.0,1805.0,1880.0
n5,FDD,824.0,849.0,869.0,894.0
n7,FDD,2500.0,2570.0,2620.0,2690.0
n8,FDD,880.0,915.0,925.0,960.0
n12,FDD,699.0,716.0,729.0,746.0
n13,FDD,777.0,787.0,746.0,756.0
n14,FDD,788.0,798.0,758.0,768.0
n20,FDD,832.0,862.0,791.0,821.0
n24,FDD,1626.5,1660.5,1525.0,1559.0
n25,FDD,1850.0,1915.0,1930.0,1995.0
n26,FDD,814.0,849.0,859.0,894.0
n28,FDD,703.0,748.0,758.0,803.0
n29,SDL,,,717.0,728.0
n30,FDD,2305.0,2315.0,2350.0,2360.0
n31,FDD,452.5,457.5,462.5,467.5
n34,TDD,2010.0,2025.0,2010.0,2025.0
n38,TDD,2570.0,2620.0,2570.0,2620.0
n39,TDD,1880.0,1920.0,1880.0,1920.0
n40,TDD,2300.0,2400.0,2300.0,2400.0
n41,TDD,2496.0,2690.0,2496.0,2690.0
n46,TDD,5150.0,5925.0,5150.0,5925.0
n47,TDD,5855.0,5925.0,5855.0,5925.0
n48,TDD,3550.0,3700.0,3550.0,3700.0
n50,TDD,1432.0,1517.0,1432.0,1517.0
n51,TDD,1427.0,1432.0,1427.0,1432.0
n53,TDD,2483.5,2495.0,2483.5,2495.0
n54,TDD,1670.0,1675.0,1670.0,1675.0
n65,FDD,1920.0,2010.0,2110.0,2200.0
n66,FDD,1710.0,1780.0,2110.0,2200.0
n70,FDD,1695.0,1710.0,1995.0,2020.0
n71,FDD,663.0,698.0,617.0,652.0
n72,FDD,451.0,456.0,461.0,466.0
n74,FDD,1427.0,1470.0,1475.0,1518.0
n75,SDL,,,1432.0,1517.0
n76,SDL,,,1427.0,1432.0
n77,TDD,3300.0,4200.0,3300.0,4200.0
n78,TDD,3300.0,3800.0,3300.0,3800.0
n79,TDD,4400.0,5000.0,4400.0,5000.0
n80,SUL,1710.0,1785.0,,
n81,SUL,880.0,915.0,,
n82,SUL,832.0,862.0,,
n83,SUL,703.0,748.0,,
n84,SUL,1920.0,1980.0,,
n85,FDD,698.0,716.0,728.0,746.0
n86,SUL,1710.0,1780.0,,
n91,FDD,832.0,862.0,1427.0,1432.0
n92,FDD,832.0,862.0,1432.0,1517.0
n93,FDD,880.0,915.0,1427.0,1432.0
n94,FDD,880.0,915.0,1432.0,1517.0
n95,SUL,2010.0,2025.0,,
n96,TDD,5925.0,7125.0,5925.0,7125.0
n97,SUL,2300.0,2400.0,,
n98,SUL,1880.0,1920.0,,
n99,SUL,1626.5,1660.5,,
n100,FDD,874.4,880.0,919.4,925.0
n101,TDD,1900.0,1910.0,1900.0,1910.0
n104,TDD,6425.0,7125.0,6425.0,7125.0
n105,FDD,663.0,703.0,612.0,652.0
n106,FDD,896.0,901.0,935.0,940.0
n109,FDD,703.0,733.0,1432.0,1517.0
