NR band,Class 1 (dBm),Tolerance (dB),Class 1.5 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance (dB),Class 3 (dBm),Tolerance (dB)
n1,,,,,26,+2/-3,23,±2
n2,,,,,26,+2/-3,23,±2
n3,,,,,26,+2/-3,23,±2
n5,,,,,,,23,±2
n7,31,+2/-3,,,26,+2/-3,23,±2
n8,,,,,26,+2/-3,23,±2
n12,,,,,,,23,±2
n13,,,,,26,+2/-3,23,±2
n14,31,+2/-3,,,26,+2/-3,23,±2
n18,,,,,,,23,±2
n20,,,,,,,23,±2
n24,,,,,,,23,+2/-3
n25,31,+2/-3,,,26,+2/-3,23,±2
n26,,,,,,,23,±2
n28,,,,,,,23,+2/-2.5
n30,,,,,,,23,±2
n31,31,+2/-3,,,,,23,±2
n34,,,29,+2/-3,26,+2/-3,23,±2
n38,,,,,,,23,±2
n39,,,29,+2/-3,26,+2/-3,23,±2
n40,31,+2/-3,29,+2/-3,26,+2/-3,23,±2
n41,31,+2/-3,29,+2/-3,26,+2/-3,23,±2
n47,,,,,,,23,±2
n48,,,,,,,23,+2/-3
n50,,,,,,,23,±2
n51,,,,,,,23,±2
n53,,,,,,,23,±2
n54,,,,,,,23,±2
n65,,,,,,,23,±2
n66,31,+2/-3,,,26,+2/-3,23,±2
n70,,,,,26,+2/-3,23,±2
n71,31,+2/-3,,,26,+2/-3,23,+2/-2.5
n72,31,+2/-3,,,,,23,±2
n74,,,,,,,23,±2
n77,31,+2/-3,29,+2/-3,26,+2/-3,23,+2/-3
n78,31,+2/-3,29,+2/-3,26,+2/-3,23,+2/-3
n79,,,29,+2/-3,26,+2/-3,23,+2/-3
n80,,,,,26,+2/-3,23,±2
n81,,,,,,,23,±2
n82,,,,,,,23,±2
n83,,,,,,,23,+2/-2.5
n84,,,,,26,+2/-3,23,±2
n85,31,+2/-3,,,26,+2/-3,23,±2
n86,,,,,,,23,±2
n89,,,,,,,23,±2
n91,,,,,,,23,±2
n92,,,,,,,23,±2
n93,,,,,,,23,±2
n94,,,,,,,23,±2
n95,,,,,26,+2/-3,23,±2
n97,,,,,26,+2/-3,23,±2
n98,,,,,26,+2/-3,23,±2
n99,,,,,,,23,+2/-3
n100,31,+2/-3,,,,,23,±2
n101,31,+2/-3,,,,,23,±2
n104,,,,,26,+2/-3,23,+2/-3
n105,,,,,,,23,+2/-2.5
n106,,,,,,,23,±2
n109,,,,,,,23,±2
